iso2c,year,cpi
TG,1999,73.1251500919369
TG,2000,74.5072504112972
TG,2001,77.4205573085367
TG,2002,79.8005225887621
TG,2003,79.0320518717736
TG,2004,79.3417341010078
TG,2005,84.7382336882176
TG,2006,86.6250013441072
TG,2007,87.4565554781618
TG,2008,95.0495049504953
TG,2009,98.198866507341
TG,2010,100
TG,2011,103.572277227723
TG,2012,106.29702970297
TG,2013,108.175049504951
TG,2014,108.380198019802
TO,1975,6.87711596758997
TO,1976,7.36604974259938
TO,1977,8.65790301253949
TO,1978,9.48770926119953
TO,1979,10.0057396601078
TO,1980,12.2463638561679
TO,1981,14.0709799928132
TO,1982,15.5959745656391
TO,1983,17.1264938138889
TO,1984,17.1447252427876
TO,1985,20.0190384297409
TO,1986,24.3579397705594
TO,1987,25.4993498535979
TO,1988,28.0299112994334
TO,1989,29.171750000603
TO,1990,32.0042872070481
TO,1991,35.3952852637349
TO,1992,38.2046020192175
TO,1993,38.5717117441208
TO,1994,38.9624246954904
TO,1995,39.5312785520448
TO,1996,40.7153511270986
TO,1997,41.5804429462053
TO,1998,42.9419719068526
TO,1999,44.8590538379687
TO,2000,47.6882422242007
TO,2001,51.6484426147762
TO,2002,57.0016318841092
TO,2003,63.6350869413501
TO,2004,70.6199053056061
TO,2005,76.4987531336499
TO,2006,81.4240085882485
TO,2007,86.2165475785016
TO,2008,95.2166900309665
TO,2009,96.5684317974484
TO,2010,100
TO,2011,106.261404365452
TO,2012,107.550345182622
TO,2013,108.316166568724
TO,2014,111.035851559382
TT,1960,2.29709855861382
TT,1961,2.33207780374323
TT,1962,2.40165190668152
TT,1963,2.49198292429284
TT,1964,2.5135086135935
TT,1965,2.55828973509495
TT,1966,2.6630352768037
TT,1967,2.7199245985274
TT,1968,2.94383020602699
TT,1969,3.01551843915904
TT,1970,3.0916271263428
TT,1971,3.20079312209747
TT,1972,3.49850109293059
TT,1973,4.01665518547452
TT,1974,4.90132257716032
TT,1975,5.73352110115486
TT,1976,6.34657580134123
TT,1977,7.09197246861393
TT,1978,7.81936673593014
TT,1979,8.97054722857063
TT,1980,10.5377291249451
TT,1981,12.0479845134464
TT,1982,13.4497389510154
TT,1983,15.4907368367423
TT,1984,17.5563925772912
TT,1985,18.8946416029172
TT,1986,20.3483342212958
TT,1987,22.5361584240055
TT,1988,24.2846244876375
TT,1989,27.0608747694429
TT,1990,30.055005171104
TT,1991,31.1920167160386
TT,1992,33.2007371120897
TT,1993,36.7981153056465
TT,1994,40.0417565741127
TT,1995,42.1168026436183
TT,1996,43.5507005363968
TT,1997,45.1298832376949
TT,1998,47.6628922905768
TT,1999,49.3020839345242
TT,2000,51.054976732965
TT,2001,53.8817137682887
TT,2002,56.1120907401231
TT,2003,58.2519182195111
TT,2004,60.4203402754612
TT,2005,64.5808511652291
TT,2006,69.9518657961208
TT,2007,75.4706190725827
TT,2008,84.563694419292
TT,2009,90.4589429538199
TT,2010,100
TT,2011,105.099366153553
TT,2012,114.840585235667
TT,2013,120.81208597436
TT,2014,127.679550111996
TN,1983,27.9695873938784
TN,1984,30.4588806719336
TN,1985,32.66847807605
TN,1986,34.6822883684092
TN,1987,37.5351862825848
TN,1988,40.2365822650435
TN,1989,43.3512502444158
TN,1990,46.1887166236462
TN,1991,49.9732884700283
TN,1992,52.8839052715184
TN,1993,54.9860174059279
TN,1994,57.5886324294823
TN,1995,61.1845531868787
TN,1996,63.4637663436014
TN,1997,65.7814797225654
TN,1998,67.8373915902846
TN,1999,69.6623021245522
TN,2000,71.7259140367199
TN,2001,73.1484779984482
TN,2002,75.1388721129671
TN,2003,77.1770835035106
TN,2004,79.9803713104457
TN,2005,81.5942043762719
TN,2006,85.2582031516477
TN,2007,88.1710894331127
TN,2008,92.5097209905177
TN,2009,95.7705164063038
TN,2010,100
TN,2011,103.544029352902
TN,2012,108.864242828553
TN,2013,115.176784523015
TN,2014,120.863909272848
TR,1960,7.08484091317064E-05
TR,1961,7.12126683055354E-05
TR,1962,7.33071585498158E-05
TR,1963,7.55837783805555E-05
TR,1964,7.68586854857696E-05
TR,1965,8.14119251472489E-05
TR,1966,8.4963452082292E-05
TR,1967,9.07005340557559E-05
TR,1968,9.10647932295849E-05
TR,1969,9.82285569631141E-05
TR,1970,0.000105035650257178
TR,1971,0.000121571498961116
TR,1972,0.000135754840506624
TR,1973,0.000156714920415043
TR,1974,0.000181499721638649
TR,1975,0.000216347182514655
TR,1976,0.00025391140972201
TR,1977,0.000322672917342737
TR,1978,0.000468793966812602
TR,1979,0.000743938650821658
TR,1980,0.00156355973355154
TR,1981,0.00213543904630087
TR,1982,0.00279395892107287
TR,1983,0.00367138743407693
TR,1984,0.00544752474027784
TR,1985,0.00789674312219346
TR,1986,0.0106305497845856
TR,1987,0.0147601158381249
TR,1988,0.0256334011722102
TR,1989,0.041852308459003
